participant,group,country,trial_id,word,input_text,response_type,test_language,accuracy,correct,typing_onset,close_substitutions,same_onset,consecutive_longest,freq,pthn,similarity_phon,similarity_ort
11311,ENG-CAT,UK,104,abella,tree,wrong,Catalan,5,0,1.28399992,0,different,,10.3529,27,0.285714285714285,0.333333333333333
11311,ENG-CAT,UK,105,aigua,air,wrong,Catalan,3,0,2.148999929,0,different,,225.0588,0,0.444444444444444,0
11311,ENG-CAT,UK,106,aixeta,,blank,Catalan,,,0.515000105,0,different,0,14.7451,8,0.25,0.166666666666667
11311,ENG-CAT,UK,107,amanida,handle,wrong,Catalan,5,0,1.25,0,different,3,17.0196,0,0.166666666666666,0.285714285714286
11311,ENG-CAT,UK,108,ampolla,ampule,wrong,Catalan,3,0,1.56799984,0,different,1,50.7451,0,0,0.142857142857143
11311,ENG-CAT,UK,109,arbre,tree,correct,Catalan,3,0,1.068000078,0,different,1,65,5,0.285714285714285,0.4
11311,ENG-CAT,UK,110,berenar,,blank,Catalan,,,4.633999825,0,different,,9.1373,5,0.4,0.142857142857143
11311,ENG-CAT,UK,111,bibero,baby bottle,correct,Catalan,9,0,3.867000103,0,same_consonant,1,50.7451,0,0.2,0.166666666666667
11311,ENG-CAT,UK,112,bici,bike,correct,Catalan,2,0,1.032000065,0,same_consonant,1,25.8824,9,0.5,0.5
11311,ENG-CAT,UK,113,boca,mouth,correct,Catalan,4,0,0.5,0.25,different,1,104.4118,0,0,0.2
11311,ENG-CAT,UK,114,bol,ball,false_friend,Catalan,2,0,2.434000015,0,same_consonant,1,21.451,12,0.571428571428571,0.75
11311,ENG-CAT,UK,115,bolet,,blank,Catalan,,,4.833999872,0.181818181818181,different,,2.1373,1,0.181818181818181,0
11311,ENG-CAT,UK,116,bolquer,volcano,wrong,Catalan,5,0,4.667999983,0,different,1,0.78431,8,0,0
11311,ENG-CAT,UK,117,boto,sparrow,wrong,Catalan,7,0,5.268000126,0,same_consonant,1,28.2549,0,0.5,0.333333333333333
11311,ENG-CAT,UK,118,bou,d,incomplete,Catalan,3,0,3.185000181,0,same_consonant,,27.5098,6,0.666666666666666,0.25
11311,ENG-CAT,UK,119,caixa,cash register,wrong,Catalan,10,0,7.865999937,0,different,1,89.7451,0,0.25,0.2
11311,ENG-CAT,UK,120,cama,bed,correct,Catalan,4,0,0.500999928,,,,187.1176,4,,0
